respondentId,timestamp,persona,demo_parentAge,demo_education,demo_relationship,demo_childrenCount,demo_childAge,health_gender,health_weightPerception,health_infoSources,nps_score,knowledge_1,knowledge_2,knowledge_3,knowledge_4,knowledge_5,knowledge_6,knowledge_7,practices_1,practices_2,practices_3,practices_4,practices_5,practices_6,practices_7,practices_8,satisfaction_1,satisfaction_2,satisfaction_3,satisfaction_4,satisfaction_5,retro_know_1,retro_prac_1,open_challenges,open_likes,open_suggestions
RESP_1771941830914_11,2026-02-03T07:06:17.426Z,"Busy Father / أب مشغول","36 – 45 سنة","دبلوم متوسط",أب,"2-3 أطفال","أكبر من 14 سنة",أنثى,"لا أعلم","إنترنت/تواصل اجتماعي",1,2,2,3,3,2,3,3,2,2,2,2,1,2,1,2,1,1,3,3,2,2,3,"بصراحة، ارتفاع الأسعار يجعل من الصعب منع طفلي عن السكريات","أكثر ما أعجبني هو التقييم الشامل","أتمنى إضافة وصفات صحية سريعة"
RESP_1771941830914_12,2026-01-25T20:49:39.691Z,"General Parent / العينة العامة","أقل من 25 سنة","دبلوم متوسط",أم,"طفل واحد","11 – 14 سنة",ذكر,طبيعي,"الأهل والأصدقاء",9,4,3,3,3,3,4,3,4,3,4,2,3,3,3,4,5,5,5,5,5,3,2,"أواجه صعوبة في توفير وجبات صحية بسبب عدم تقبل الطفل للمذاق الجديد","استفدت كثيراً من النصائح العملية و {feature}","أتمنى إضافة فيديوهات توضيحية أكثر"
RESP_1771941830914_13,2026-02-14T20:55:00.289Z,"Engaged Mother / أم مهتمة","أقل من 25 سنة",ثانوي,أم,"طفل واحد","3 – 6 سنوات",ذكر,طبيعي,"الإنترنت ومواقع التواصل الاجتماعي",8,4,4,3,4,4,4,4,5,3,3,5,4,5,5,3,5,3,4,3,4,2,4,"المشكلة الأساسية هي تنويع الأكل","رائع، خاصة النصائح العملية","أتمنى إضافة وصفات صحية سريعة"
RESP_1771941830914_14,2026-02-03T19:42:18.348Z,"General Parent / العينة العامة","25 – 35 سنة",جامعي,أم,"2-3 أطفال","7 – 10 سنوات",أنثى,طبيعي,"طبيب أطفال",0,3,2,3,3,2,4,2,3,2,3,4,3,2,4,3,2,2,2,1,3,1,2,"المشكلة الأساسية هي إقناع طفلي بأكل الخضراوات","استفدت كثيراً من سهولة الاستخدام و {feature}","لا يوجد، شكراً لكم"
RESP_1771941830914_15,2026-02-19T14:05:43.384Z,"Busy Father / أب مشغول","أكثر من 45 سنة","دراسات عليا",أب,"2-3 أطفال","أقل من 3 سنوات",ذكر,طبيعي,"إنترنت/تواصل اجتماعي",0,3,3,4,4,3,3,3,3,2,2,3,2,1,2,1,3,3,1,2,2,2,3,"المشكلة الأساسية هي توفير وجبات صحية","رائع، خاصة المتابعة المستمرة","لا يوجد، شكراً لكم"
RESP_1771941830915_16,2026-02-09T11:36:11.817Z,"General Parent / العينة العامة","أقل من 25 سنة",جامعي,أب,"2-3 أطفال","7 – 10 سنوات",أنثى,طبيعي,"الإنترنت ومواقع التواصل الاجتماعي",1,3,4,3,3,4,2,2,4,3,3,4,4,3,3,4,1,2,3,2,3,2,2,"المشكلة الأساسية هي تنويع الأكل","رائع، خاصة المتابعة المستمرة","سيكون أفضل لو تم تطبيق للهواتف"
RESP_1771941830915_17,2026-02-16T11:19:15.207Z,"Busy Father / أب مشغول","25 – 35 سنة",ثانوي,أب,"2-3 أطفال","3 – 6 سنوات",ذكر,طبيعي,"إنترنت/تواصل اجتماعي",2,2,4,2,3,3,3,2,3,1,1,3,2,2,3,2,2,2,2,1,2,2,1,"المشكلة الأساسية هي منع طفلي عن السكريات","استفدت كثيراً من التقييم الشامل و {feature}","أتمنى إضافة نظام تنبيهات للوجبات"
RESP_1771941830915_18,2026-02-08T05:44:02.518Z,"General Parent / العينة العامة","أقل من 25 سنة",ثانوي,أم,"طفل واحد","3 – 6 سنوات",أنثى,طبيعي,"الإنترنت ومواقع التواصل الاجتماعي",3,4,3,4,3,3,4,3,3,3,3,3,3,4,3,4,2,3,2,3,2,2,3,"بصراحة، عملي لفترات طويلة يجعل من الصعب تنويع الأكل","أكثر ما أعجبني هو التصميم الجذاب","أتمنى إضافة استشارات مباشرة مع أطباء"
RESP_1771941830915_19,2026-01-26T23:33:26.686Z,"Engaged Mother / أم مهتمة","36 – 45 سنة","دراسات عليا",أم,"2-3 أطفال","أقل من 3 سنوات",أنثى,طبيعي,"الكتب والمجلات العلمية",0,5,4,4,5,4,5,5,4,4,4,5,4,5,5,5,1,2,1,1,2,3,4,"المشكلة الأساسية هي تنويع الأكل","رائع، خاصة التقييم الشامل","لا يوجد، شكراً لكم"
RESP_1771941830915_20,2026-02-14T17:32:53.427Z,"Engaged Mother / أم مهتمة","25 – 35 سنة",جامعي,أم,"2-3 أطفال","3 – 6 سنوات",ذكر,طبيعي,"طبيب أطفال",5,5,4,4,4,4,5,3,5,5,4,4,4,3,4,3,4,4,4,4,3,4,2,"بصراحة، عملي لفترات طويلة يجعل من الصعب منع طفلي عن السكريات","رائع، خاصة المعلومات القيمة","أتمنى إضافة وصفات صحية سريعة"
RESP_1771941830916_21,2026-02-23T21:26:05.870Z,"General Parent / العينة العامة","36 – 45 سنة",جامعي,أب,"2-3 أطفال","7 – 10 سنوات",أنثى,طبيعي,"أخصائي تغذية",6,3,3,2,3,3,3,3,4,4,3,2,3,4,3,3,3,2,3,3,3,2,2,"المشكلة الأساسية هي تحديد الكميات المناسبة","أكثر ما أعجبني هو المعلومات القيمة","أتمنى إضافة وصفات صحية سريعة"
RESP_1771941830916_22,2026-01-27T14:51:51.418Z,"General Parent / العينة العامة","25 – 35 سنة","دبلوم متوسط",أم,"2-3 أطفال","أقل من 3 سنوات",أنثى,"وزن زائد","أخصائي تغذية",7,3,4,3,2,3,3,3,2,2,3,3,3,3,3,3,3,4,4,4,5,3,2,"أواجه صعوبة في تحديد الكميات المناسبة بسبب ضيق الوقت","رائع، خاصة المتابعة المستمرة","أتمنى إضافة تطبيق للهواتف"
RESP_1771941830916_23,2026-01-27T11:13:58.474Z,"Engaged Mother / أم مهتمة","25 – 35 سنة",ثانوي,أم,"2-3 أطفال","أقل من 3 سنوات",ذكر,"نحيف جداً","طبيب أطفال",3,5,4,3,3,3,3,4,4,4,5,4,4,5,5,4,3,2,2,3,2,2,4,"بصراحة، قلة الخيارات المتاحة يجعل من الصعب توفير وجبات صحية","استفدت كثيراً من المتابعة المستمرة و {feature}","لا يوجد، شكراً لكم"
RESP_1771941830916_24,2026-02-14T13:34:24.345Z,"General Parent / العينة العامة","36 – 45 سنة","دبلوم متوسط",أم,"طفل واحد","3 – 6 سنوات",ذكر,طبيعي,"الإنترنت ومواقع التواصل الاجتماعي",2,3,3,3,3,3,2,2,3,3,2,3,3,4,3,4,2,2,2,2,2,2,2,"أواجه صعوبة في إيجاد وقت للطبخ بسبب ارتفاع الأسعار","أكثر ما أعجبني هو التصميم الجذاب","سيكون أفضل لو تم استشارات مباشرة مع أطباء"
RESP_1771941830916_25,2026-02-18T02:25:17.999Z,"Busy Father / أب مشغول","25 – 35 سنة","دراسات عليا",أب,"2-3 أطفال","7 – 10 سنوات",ذكر,طبيعي,"إنترنت/تواصل اجتماعي",3,4,3,3,3,3,4,3,3,2,2,3,2,2,2,2,2,1,1,2,3,3,3,"المشكلة الأساسية هي إقناع طفلي بأكل الخضراوات","استفدت كثيراً من التصميم الجذاب و {feature}","سيكون أفضل لو تم نظام تنبيهات للوجبات"
RESP_1771941830916_26,2026-02-20T01:47:04.803Z,"General Parent / العينة العامة","36 – 45 سنة",جامعي,أم,"4 أطفال فأكثر","أقل من 3 سنوات",أنثى,طبيعي,"الأهل والأصدقاء",7,3,3,4,3,3,3,3,3,3,2,4,4,3,2,3,3,5,4,3,5,1,1,"المشكلة الأساسية هي إقناع طفلي بأكل الخضراوات","أكثر ما أعجبني هو التقييم الشامل","أتمنى إضافة تطبيق للهواتف"
RESP_1771941830917_27,2026-02-21T22:17:23.050Z,"Engaged Mother / أم مهتمة","25 – 35 سنة","دبلوم متوسط",أم,"4 أطفال فأكثر","7 – 10 سنوات",أنثى,طبيعي,"الأهل والأصدقاء",3,4,4,4,4,5,4,5,4,3,4,4,4,3,5,4,3,2,2,1,2,3,3,"أواجه صعوبة في توفير وجبات صحية بسبب عملي لفترات طويلة","رائع، خاصة التقييم الشامل","أتمنى إضافة فيديوهات توضيحية أكثر"
RESP_1771941830917_28,2026-02-08T18:45:26.878Z,"Busy Father / أب مشغول","25 – 35 سنة","دبلوم متوسط",أب,"2-3 أطفال","7 – 10 سنوات",أنثى,"لا أعلم","إنترنت/تواصل اجتماعي",4,3,3,3,3,2,4,4,2,3,2,2,2,2,2,1,2,3,1,3,3,2,1,"أواجه صعوبة في تنويع الأكل بسبب ارتفاع الأسعار","رائع، خاصة التقييم الشامل","أتمنى إضافة تطبيق للهواتف"
RESP_1771941830917_29,2026-02-09T01:23:32.749Z,"General Parent / العينة العامة","25 – 35 سنة",جامعي,أم,"2-3 أطفال","أقل من 3 سنوات",ذكر,طبيعي,"الإنترنت ومواقع التواصل الاجتماعي",2,3,3,3,4,3,4,4,2,4,2,4,3,3,2,3,3,3,3,1,2,3,3,"أواجه صعوبة في تنويع الأكل بسبب قلة الخيارات المتاحة","استفدت كثيراً من المتابعة المستمرة و {feature}","لا يوجد، شكراً لكم"
RESP_1771941830917_30,2026-01-28T15:34:25.823Z,"Engaged Mother / أم مهتمة","25 – 35 سنة","أقل من ثانوي",أم,"طفل واحد","3 – 6 سنوات",أنثى,طبيعي,"الإنترنت ومواقع التواصل الاجتماعي",5,4,4,4,5,5,3,4,5,5,4,5,4,4,4,4,3,2,3,3,2,4,3,"بصراحة، عدم تقبل الطفل للمذاق الجديد يجعل من الصعب إقناع طفلي بأكل الخضراوات","رائع، خاصة سهولة الاستخدام","أتمنى إضافة وصفات صحية سريعة"
RESP_1771941830917_31,2026-01-25T21:30:26.387Z,"Engaged Mother / أم مهتمة","25 – 35 سنة",ثانوي,أم,"2-3 أطفال","7 – 10 سنوات",ذكر,"لا أعلم","طبيب أطفال",4,3,5,5,5,4,4,3,5,4,5,5,3,4,3,4,3,1,2,3,1,2,3,"أواجه صعوبة في تحديد الكميات المناسبة بسبب ضيق الوقت","أكثر ما أعجبني هو التقييم الشامل","سيكون أفضل لو تم استشارات مباشرة مع أطباء"
RESP_1771941830917_32,2026-02-06T20:52:20.210Z,"Engaged Mother / أم مهتمة","25 – 35 سنة","دراسات عليا",أم,"2-3 أطفال","أقل من 3 سنوات",أنثى,طبيعي,"الإنترنت ومواقع التواصل الاجتماعي",1,4,4,4,5,5,5,3,5,4,4,5,3,5,4,5,2,3,1,2,2,4,3,"المشكلة الأساسية هي تنويع الأكل","أكثر ما أعجبني هو سهولة الاستخدام","أتمنى إضافة وصفات صحية سريعة"
RESP_1771941830918_33,2026-02-06T20:26:43.070Z,"Engaged Mother / أم مهتمة","25 – 35 سنة",جامعي,أم,"طفل واحد","11 – 14 سنة",أنثى,طبيعي,"الإنترنت ومواقع التواصل الاجتماعي",10,3,4,4,3,4,3,4,4,4,4,5,4,3,4,5,5,5,5,5,5,4,4,"بصراحة، قلة الخيارات المتاحة يجعل من الصعب منع طفلي عن السكريات","استفدت كثيراً من النصائح العملية و {feature}","لا يوجد، شكراً لكم"
RESP_1771941830918_34,2026-02-09T17:16:39.646Z,"General Parent / العينة العامة","36 – 45 سنة",جامعي,أم,"2-3 أطفال","3 – 6 سنوات",أنثى,طبيعي,"طبيب أطفال",9,3,3,4,3,4,4,2,2,4,3,4,3,3,3,3,5,5,5,4,5,2,3,"بصراحة، قلة الخيارات المتاحة يجعل من الصعب تحديد الكميات المناسبة","استفدت كثيراً من المتابعة المستمرة و {feature}","أتمنى إضافة فيديوهات توضيحية أكثر"
RESP_1771941830918_35,2026-01-30T21:22:44.362Z,"Engaged Mother / أم مهتمة","أكثر من 45 سنة",جامعي,أم,"2-3 أطفال","3 – 6 سنوات",ذكر,"وزن زائد","أخصائي تغذية",2,4,4,4,4,5,4,5,5,5,5,4,4,4,4,3,1,2,2,2,2,4,3,"أواجه صعوبة في إيجاد وقت للطبخ بسبب ارتفاع الأسعار","رائع، خاصة التصميم الجذاب","لا يوجد، شكراً لكم"
RESP_1771941830918_36,2026-02-08T18:28:53.267Z,"Engaged Mother / أم مهتمة","25 – 35 سنة","دبلوم متوسط",أم,"2-3 أطفال","أكبر من 14 سنة",أنثى,طبيعي,"طبيب أطفال",4,4,5,4,3,5,5,4,4,4,5,4,4,4,4,5,1,1,3,1,1,3,3,"أواجه صعوبة في منع طفلي عن السكريات بسبب عملي لفترات طويلة","استفدت كثيراً من التصميم الجذاب و {feature}","سيكون أفضل لو تم وصفات صحية سريعة"
RESP_1771941830918_37,2026-01-30T23:04:06.244Z,"General Parent / العينة العامة","36 – 45 سنة","أقل من ثانوي",أخرى,"2-3 أطفال","3 – 6 سنوات",أنثى,طبيعي,"الإنترنت ومواقع التواصل الاجتماعي",1,4,3,4,4,4,4,3,3,3,2,3,3,3,3,3,2,2,2,2,3,2,2,"أواجه صعوبة في إقناع طفلي بأكل الخضراوات بسبب عدم تقبل الطفل للمذاق الجديد","استفدت كثيراً من التقييم الشامل و {feature}","سيكون أفضل لو تم فيديوهات توضيحية أكثر"
RESP_1771941830919_38,2026-02-20T07:02:17.765Z,"Engaged Mother / أم مهتمة","25 – 35 سنة",ثانوي,أم,"2-3 أطفال","3 – 6 سنوات",أنثى,"نحيف جداً","أخصائي تغذية",0,4,4,4,4,4,4,4,4,4,3,4,3,4,5,3,1,2,1,2,2,4,2,"أواجه صعوبة في إيجاد وقت للطبخ بسبب عملي لفترات طويلة","أكثر ما أعجبني هو التصميم الجذاب","أتمنى إضافة استشارات مباشرة مع أطباء"
RESP_1771941830919_39,2026-02-12T08:43:06.348Z,"General Parent / العينة العامة","36 – 45 سنة",جامعي,أم,"طفل واحد","7 – 10 سنوات",أنثى,طبيعي,"طبيب أطفال",1,4,3,3,3,4,4,4,3,3,2,4,3,3,3,3,2,2,3,2,1,2,1,"المشكلة الأساسية هي إقناع طفلي بأكل الخضراوات","أكثر ما أعجبني هو التقييم الشامل","أتمنى إضافة وصفات صحية سريعة"
RESP_1771941830919_40,2026-02-15T17:41:57.344Z,"General Parent / العينة العامة","25 – 35 سنة","دراسات عليا",أم,"طفل واحد","11 – 14 سنة",ذكر,طبيعي,"الإنترنت ومواقع التواصل الاجتماعي",10,3,4,3,3,3,2,3,4,4,3,3,3,3,3,4,5,5,5,5,5,3,2,"بصراحة، عدم تقبل الطفل للمذاق الجديد يجعل من الصعب تحديد الكميات المناسبة","أكثر ما أعجبني هو النصائح العملية","أتمنى إضافة نظام تنبيهات للوجبات"
RESP_1771941830919_41,2026-02-22T18:34:51.663Z,"Busy Father / أب مشغول","أكثر من 45 سنة",جامعي,أب,"طفل واحد","3 – 6 سنوات",ذكر,"وزن زائد","إنترنت/تواصل اجتماعي",10,3,4,2,3,3,3,3,2,2,1,2,2,3,3,1,4,5,5,5,5,2,1,"بصراحة، قلة الخيارات المتاحة يجعل من الصعب تنويع الأكل","أكثر ما أعجبني هو التقييم الشامل","سيكون أفضل لو تم وصفات صحية سريعة"
RESP_1771941830919_42,2026-01-27T14:42:22.614Z,"Engaged Mother / أم مهتمة","25 – 35 سنة",ثانوي,أم,"2-3 أطفال","3 – 6 سنوات",أنثى,طبيعي,"الإنترنت ومواقع التواصل الاجتماعي",4,5,3,4,4,4,3,3,4,3,4,4,4,4,5,3,3,2,2,2,3,3,3,"أواجه صعوبة في إقناع طفلي بأكل الخضراوات بسبب عدم تقبل الطفل للمذاق الجديد","أكثر ما أعجبني هو التصميم الجذاب","أتمنى إضافة تطبيق للهواتف"
RESP_1771941830919_43,2026-02-06T20:53:47.921Z,"General Parent / العينة العامة","25 – 35 سنة","دبلوم متوسط",أب,"2-3 أطفال","7 – 10 سنوات",ذكر,"وزن زائد","طبيب أطفال",10,3,3,3,3,2,3,3,4,2,4,4,3,2,3,2,5,5,5,5,5,2,1,"المشكلة الأساسية هي توفير وجبات صحية","رائع، خاصة التقييم الشامل","لا يوجد، شكراً لكم"
RESP_1771941830920_44,2026-02-15T16:26:06.097Z,"Engaged Mother / أم مهتمة","36 – 45 سنة",جامعي,أم,"طفل واحد","أقل من 3 سنوات",ذكر,طبيعي,"الأهل والأصدقاء",1,4,4,4,5,4,5,5,4,4,3,5,4,3,4,4,2,3,2,1,2,3,2,"أواجه صعوبة في توفير وجبات صحية بسبب قلة الخيارات المتاحة","رائع، خاصة التصميم الجذاب","سيكون أفضل لو تم وصفات صحية سريعة"
RESP_1771941830920_45,2026-02-07T17:04:38.956Z,"Engaged Mother / أم مهتمة","25 – 35 سنة",جامعي,أم,"2-3 أطفال","11 – 14 سنة",ذكر,طبيعي,"الإنترنت ومواقع التواصل الاجتماعي",5,5,4,4,5,4,4,5,4,4,4,3,4,4,4,5,4,3,4,2,2,3,3,"المشكلة الأساسية هي تحديد الكميات المناسبة","استفدت كثيراً من المعلومات القيمة و {feature}","أتمنى إضافة فيديوهات توضيحية أكثر"
RESP_1771941830920_46,2026-01-28T02:22:48.583Z,"Engaged Mother / أم مهتمة","أقل من 25 سنة",ثانوي,أم,"طفل واحد","7 – 10 سنوات",ذكر,طبيعي,"الإنترنت ومواقع التواصل الاجتماعي",0,5,5,3,5,5,4,4,4,4,4,4,4,3,3,5,2,2,3,2,2,3,4,"المشكلة الأساسية هي منع طفلي عن السكريات","استفدت كثيراً من النصائح العملية و {feature}","أتمنى إضافة نظام تنبيهات للوجبات"
RESP_1771941830920_47,2026-02-03T03:15:48.189Z,"Engaged Mother / أم مهتمة","36 – 45 سنة",جامعي,أم,"2-3 أطفال","أقل من 3 سنوات",ذكر,طبيعي,"أخصائي تغذية",3,4,5,3,3,5,4,5,5,3,5,4,4,3,5,4,2,2,3,2,2,3,3,"المشكلة الأساسية هي إيجاد وقت للطبخ","رائع، خاصة المعلومات القيمة","أتمنى إضافة وصفات صحية سريعة"
RESP_1771941830921_48,2026-02-12T05:46:26.018Z,"General Parent / العينة العامة","36 – 45 سنة",جامعي,أم,"2-3 أطفال","3 – 6 سنوات",أنثى,"سمنة مفرطة","الأهل والأصدقاء",1,4,3,2,4,4,4,4,3,4,3,3,2,4,3,4,2,1,2,3,1,2,3,"بصراحة، قلة الخيارات المتاحة يجعل من الصعب منع طفلي عن السكريات","رائع، خاصة سهولة الاستخدام","لا يوجد، شكراً لكم"
RESP_1771941830921_49,2026-02-02T12:43:15.529Z,"General Parent / العينة العامة","أكثر من 45 سنة","دبلوم متوسط",أم,"4 أطفال فأكثر","11 – 14 سنة",أنثى,طبيعي,"أخصائي تغذية",2,3,2,4,4,2,2,2,3,3,3,3,2,2,2,3,3,3,3,3,2,2,2,"أواجه صعوبة في تنويع الأكل بسبب تأثير الإعلانات على طفلي","استفدت كثيراً من المعلومات القيمة و {feature}","سيكون أفضل لو تم تطبيق للهواتف"
RESP_1771941830921_50,2026-02-11T00:45:56.172Z,"Busy Father / أب مشغول","25 – 35 سنة","دبلوم متوسط",أب,"2-3 أطفال","أقل من 3 سنوات",ذكر,"وزن زائد","إنترنت/تواصل اجتماعي",0,3,3,2,2,4,2,3,2,2,2,2,2,1,2,3,3,3,2,2,2,2,2,"أواجه صعوبة في تنويع الأكل بسبب ارتفاع الأسعار","استفدت كثيراً من المتابعة المستمرة و {feature}","سيكون أفضل لو تم استشارات مباشرة مع أطباء"
RESP_1771941830921_51,2026-01-29T06:29:36.238Z,"Engaged Mother / أم مهتمة","25 – 35 سنة",جامعي,أم,"طفل واحد","أكبر من 14 سنة",ذكر,"نحيف جداً","الأهل والأصدقاء",6,4,4,4,4,4,5,4,5,3,4,5,4,4,4,3,3,4,4,3,3,2,3,"أواجه صعوبة في منع طفلي عن السكريات بسبب عدم تقبل الطفل للمذاق الجديد","رائع، خاصة سهولة الاستخدام","أتمنى إضافة فيديوهات توضيحية أكثر"
RESP_1771941830921_52,2026-02-18T18:33:02.781Z,"Busy Father / أب مشغول","25 – 35 سنة",جامعي,أب,"طفل واحد","أقل من 3 سنوات",أنثى,طبيعي,"إنترنت/تواصل اجتماعي",9,4,3,3,4,3,3,3,2,2,2,2,2,2,3,3,4,4,4,5,5,2,3,"أواجه صعوبة في تحديد الكميات المناسبة بسبب قلة الخيارات المتاحة","أكثر ما أعجبني هو النصائح العملية","لا يوجد، شكراً لكم"
RESP_1771941830921_53,2026-02-22T03:55:34.272Z,"Busy Father / أب مشغول","أقل من 25 سنة",جامعي,أب,"طفل واحد","3 – 6 سنوات",ذكر,طبيعي,"إنترنت/تواصل اجتماعي",2,3,3,4,3,4,4,3,2,2,2,1,3,1,2,2,1,3,3,2,3,1,3,"المشكلة الأساسية هي تحديد الكميات المناسبة","رائع، خاصة التصميم الجذاب","أتمنى إضافة وصفات صحية سريعة"
RESP_1771941830922_54,2026-02-08T14:47:38.856Z,"Engaged Mother / أم مهتمة","36 – 45 سنة",جامعي,أم,"2-3 أطفال","أقل من 3 سنوات",ذكر,"وزن زائد","الإنترنت ومواقع التواصل الاجتماعي",1,4,5,4,4,4,3,4,4,3,5,5,5,4,4,3,2,3,2,2,3,3,3,"أواجه صعوبة في تنويع الأكل بسبب عدم تقبل الطفل للمذاق الجديد","استفدت كثيراً من سهولة الاستخدام و {feature}","سيكون أفضل لو تم نظام تنبيهات للوجبات"
RESP_1771941830922_55,2026-01-31T07:34:53.216Z,"General Parent / العينة العامة","25 – 35 سنة","دبلوم متوسط",أم,"2-3 أطفال","3 – 6 سنوات",ذكر,طبيعي,"الإنترنت ومواقع التواصل الاجتماعي",2,4,4,4,4,4,4,3,4,3,3,4,3,3,2,3,3,1,3,2,2,1,3,"أواجه صعوبة في إيجاد وقت للطبخ بسبب تأثير الإعلانات على طفلي","رائع، خاصة التصميم الجذاب","أتمنى إضافة تطبيق للهواتف"
RESP_1771941830922_56,2026-02-09T19:56:55.312Z,"General Parent / العينة العامة","25 – 35 سنة",ثانوي,أم,"4 أطفال فأكثر","11 – 14 سنة",ذكر,طبيعي,"طبيب أطفال",6,4,3,3,3,2,3,2,2,3,3,3,3,3,3,3,3,2,3,3,3,1,3,"بصراحة، ارتفاع الأسعار يجعل من الصعب إيجاد وقت للطبخ","استفدت كثيراً من المعلومات القيمة و {feature}","سيكون أفضل لو تم تطبيق للهواتف"
